2627,Packington Street,2,Monday,16,0
BP5283,Tottenham Court Road Station,1,Monday,16,0
616,Mount Pleasant,1,Monday,16,1
34846,Holles Street,1,Monday,16,1
7823,Leicester Square Station,2,Monday,16,1
1801,Tysoe Street,2,Monday,16,2
BP5283,Tottenham Court Road Station,1,Monday,16,2
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,2
8419,Brownlow Street,1,Monday,16,2
944,Royal London Hospital / Whitechapel Stn,1,Monday,16,4
1736,Stepney Green,2,Monday,16,3
790,Islington Green,2,Monday,16,3
BP1379,Chapel Road,2,Monday,16,3
20997,Hackney Central/ Mare Street,2,Monday,16,4
1801,Tysoe Street,2,Monday,16,4
1276,Robert Street,2,Monday,16,5
30743,Wood Green Station,2,Monday,16,4
2636,Essex Road / Marquess Road,1,Monday,16,4
1057,Holborn Station,2,Monday,16,4
26591,Essex Road Station,2,Monday,16,5
2272,Mare Street / Narrow Way,2,Monday,16,6
33447,Grosvenor Gardens,2,Monday,16,6
1801,Tysoe Street,2,Monday,16,6
BP4608,Manor House Station,1,Monday,16,6
29684,Denmark Street,2,Monday,16,6
R0325,Shrewsbury Road,2,Monday,16,6
2626,Packington Street,1,Monday,16,7
37219,Ilford Broadway,2,Monday,16,7
14237,Hardwick Street,2,Monday,16,7
33477,Bressenden Place,1,Monday,16,7
30743,Wood Green Station,2,Monday,16,6
35030,Tottenham Court Road Station,2,Monday,16,7
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,6
R0868,Hainault Street,1,Monday,16,4
9989,Beresford Road,2,Monday,16,7
29245,Millfields Road,1,Monday,16,7
BP3504,Trafalgar Square / Charing Cross Stn,2,Monday,16,5
1801,Tysoe Street,2,Monday,16,6
2648,Royal Oak Road,2,Monday,16,7
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,7
192,Lea Bridge Roundabout,2,Monday,16,8
9986,West Green Road,1,Monday,16,8
2269,Clapton Girls' Academy,1,Monday,16,8
675,Hampstead Road / Drummond Street,2,Monday,16,9
20997,Hackney Central/ Mare Street,2,Monday,16,9
7823,Leicester Square Station,2,Monday,16,8
2639,Culford Road,2,Monday,16,10
14581,Green Street,2,Monday,16,7
947,Stepney Green Station,2,Monday,16,10
308,Graham Road / Hackney Central,1,Monday,16,11
1054,Dean Street / Chinatown,1,Monday,16,11
BP882,Tottenham Court Road Station,2,Monday,16,11
BP3536,St Martin's Place,1,Monday,16,12
BP5484,Royal Oak Road,1,Monday,16,12
1011,Clapton Pond,1,Monday,16,12
BP5575,St Paul's Station,1,Monday,16,12
192,Lea Bridge Roundabout,2,Monday,16,11
4825,Regents Canal,1,Monday,16,13
33683,Aldgate Station,2,Monday,16,13
9990,Mattison Road,1,Monday,16,13
R0078,Gray's Inn Road,1,Monday,16,14
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,13
791,Islington Green,1,Monday,16,14
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,13
BP5172,Cambridge Circus,1,Monday,16,14
1054,Dean Street / Chinatown,1,Monday,16,15
1054,Dean Street / Chinatown,1,Monday,16,15
9991,Mattison Road,2,Monday,16,15
905,Essex Road / Newington Green Road,1,Monday,16,15
30743,Wood Green Station,2,Monday,16,16
64,Clapton Pond,2,Monday,16,15
R0868,Hainault Street,1,Monday,16,14
4714,Brecknock Road,1,Monday,16,16
20997,Hackney Central/ Mare Street,2,Monday,16,17
320,Dalston Junction,1,Monday,16,18
BP1379,Chapel Road,2,Monday,16,18
1042,St Ann's Road,1,Monday,16,18
2271,Clapton Square,1,Monday,16,18
192,Lea Bridge Roundabout,2,Monday,16,18
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,17
2637,Ockendon Road,2,Monday,16,19
1011,Clapton Pond,1,Monday,16,18
2627,Packington Street,2,Monday,16,19
4714,Brecknock Road,1,Monday,16,19
14520,Shrewsbury Road,1,Monday,16,19
2632,Northchurch Road,1,Monday,16,19
29684,Denmark Street,2,Monday,16,19
2622,Clerkenwell Road,1,Monday,16,20
BP842,Rowley Gardens,1,Monday,16,20
197,Rosebery Avenue,2,Monday,16,20
9993,Endymion Road,2,Monday,16,18
324,Camden Town Station,1,Monday,16,20
1740,Katherine Road,1,Monday,16,20
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,19
8348,Warren Street Station,2,Monday,16,21
3013,Little Ilford Lane,2,Monday,16,21
BP882,Tottenham Court Road Station,2,Monday,16,21
2636,Essex Road / Marquess Road,1,Monday,16,22
36602,Angel Station,1,Monday,16,22
9992,Endymion Road,1,Monday,16,22
37229,Trocadero / Haymarket,1,Monday,16,23
2637,Ockendon Road,2,Monday,16,23
15192,Green Park Station,1,Monday,16,23
2622,Clerkenwell Road,1,Monday,16,23
161,Trocadero / Haymarket,2,Monday,16,23
2043,Adler Street,2,Monday,16,23
2070,Stratford High St Stn  / Carpenters Road,1,Monday,16,24
26591,Essex Road Station,2,Monday,16,24
2636,Essex Road / Marquess Road,1,Monday,16,24
15192,Green Park Station,1,Monday,16,25
33431,Aldgate East Station,1,Monday,16,25
2632,Northchurch Road,1,Monday,16,25
143,Trafalgar Square / Charing Cross Stn,1,Monday,16,24
33320,Berriman Road,1,Monday,16,25
8556,Bread Street,2,Monday,16,25
324,Camden Town Station,1,Monday,16,25
R0078,Gray's Inn Road,1,Monday,16,26
BP976,Stratford Bus Station,1,Monday,16,26
4839,Harringay Green Lanes Station,2,Monday,16,25
4716,Angel Station,2,Monday,16,27
36857,Hyde Park Corner,1,Monday,16,27
2626,Packington Street,1,Monday,16,26
36857,Hyde Park Corner,1,Monday,16,27
14219,Dalston Lane / Dalston Junction Station,2,Monday,16,27
20997,Hackney Central/ Mare Street,2,Monday,16,27
BP5408,Adler Street,1,Monday,16,27
33260,Pratt Street,1,Monday,16,28
192,Lea Bridge Roundabout,2,Monday,16,28
33477,Bressenden Place,1,Monday,16,29
20997,Hackney Central/ Mare Street,2,Monday,16,29
8556,Bread Street,2,Monday,16,29
9991,Mattison Road,2,Monday,16,29
BP5408,Adler Street,1,Monday,16,29
BP3442,St Paul's Station,2,Monday,16,29
