9990,Mattison Road,1,51.581025,-0.099358,29
804,Falkland Road,1,51.586306,-0.10061,29
29674,Gower Street / University College Hosp,1,51.524105,-0.134308,29
33291,Mornington Crescent Station,1,51.533445,-0.138598,29
1282,Murray Street,1,51.544134,-0.135565,29
BP3912,Finsbury Park Station,1,51.563799,-0.106265,29
33549,Warren Street Station  / Euston Road,1,51.525735,-0.138422,29
143,Trafalgar Square / Charing Cross Stn,1,51.508189,-0.127047,29
375,Turnpike Lane Station,1,51.590842,-0.10364,29
7824,Leicester Square Station,1,51.511618,-0.128304,29
9988,Beresford Road,1,51.584389,-0.100011,29
33321,Sobell Centre,1,51.557999,-0.111829,29
BP4608,Manor House Station,1,51.572006,-0.09666,29
9992,Endymion Road,1,51.575974,-0.098428,29
1284,Camden Park Road,1,51.547063,-0.13145,29
33260,Pratt Street,1,51.537164,-0.139498,29
33326,Hillmarton Road / H M Prison Holloway,1,51.553665,-0.122539,29
33320,Berriman Road,1,51.559657,-0.110376,29
BP5283,Tottenham Court Road Station,1,51.51555,-0.12846,29
1042,St Ann's Road,1,51.582982,-0.099738,29
BP3536,St Martin's Place,1,51.509858,-0.127901,29
377,Finsbury Park / Blackstock Road,1,51.565254,-0.103391,29
29676,Chenies Street,1,51.521213,-0.131168,29
1277,Silverdale,1,51.530747,-0.138578,29
1609,Alexandra Grove,1,51.567379,-0.100229,29
BP842,Rowley Gardens,1,51.573004,-0.09721,29
BP5972,Isledon Road,1,51.562662,-0.107683,29
33322,Holloway Road,1,51.556387,-0.116195,29
33325,Caledonian Road,1,51.555359,-0.118791,29
BP2167,Torrington Place,1,51.522916,-0.133016,29
BP2778,Brampton Park Road,1,51.593139,-0.106663,29
R0085,Cambridge Circus,1,51.51352,-0.129177,29
4714,Brecknock Road,1,51.54937,-0.12837,29
BP199,Portland Rise,1,51.569713,-0.09716,29
331,Camden Road Station,1,51.542317,-0.137817,29
4838,Harringay Green Lanes Station,1,51.577859,-0.098768,29
324,Camden Town Station,1,51.539801,-0.141323,29
1275,Robert Street,1,51.528758,-0.138515,29
29735,Great Russell Street,1,51.518395,-0.128098,29
9986,West Green Road,1,51.588065,-0.101533,29
1286,Hilldrop Road,1,51.55095,-0.126516,29
1691,Sandall Road,1,51.545946,-0.132996,29
