1017,St John Street / Goswell Road,2,Monday,0,10
1017,St John Street / Goswell Road,2,Monday,0,15
1017,St John Street / Goswell Road,2,Monday,0,20
1017,St John Street / Goswell Road,2,Monday,0,25
1017,St John Street / Goswell Road,2,Monday,0,31
1017,St John Street / Goswell Road,2,Monday,0,37
1017,St John Street / Goswell Road,2,Monday,0,43
1017,St John Street / Goswell Road,2,Monday,0,49
1017,St John Street / Goswell Road,2,Monday,0,5
1017,St John Street / Goswell Road,2,Monday,0,55
1017,St John Street / Goswell Road,2,Monday,1,1
1017,St John Street / Goswell Road,2,Monday,1,11
1017,St John Street / Goswell Road,2,Monday,1,12
1017,St John Street / Goswell Road,2,Monday,1,22
1017,St John Street / Goswell Road,2,Monday,1,32
1017,St John Street / Goswell Road,2,Monday,1,42
1017,St John Street / Goswell Road,2,Monday,1,54
1017,St John Street / Goswell Road,2,Monday,1,6
1017,St John Street / Goswell Road,2,Monday,10,1
1017,St John Street / Goswell Road,2,Monday,10,10
1017,St John Street / Goswell Road,2,Monday,10,13
1017,St John Street / Goswell Road,2,Monday,10,16
1017,St John Street / Goswell Road,2,Monday,10,19
1017,St John Street / Goswell Road,2,Monday,10,22
1017,St John Street / Goswell Road,2,Monday,10,25
1017,St John Street / Goswell Road,2,Monday,10,28
1017,St John Street / Goswell Road,2,Monday,10,31
1017,St John Street / Goswell Road,2,Monday,10,34
1017,St John Street / Goswell Road,2,Monday,10,37
1017,St John Street / Goswell Road,2,Monday,10,4
1017,St John Street / Goswell Road,2,Monday,10,40
1017,St John Street / Goswell Road,2,Monday,10,43
1017,St John Street / Goswell Road,2,Monday,10,46
1017,St John Street / Goswell Road,2,Monday,10,49
1017,St John Street / Goswell Road,2,Monday,10,52
1017,St John Street / Goswell Road,2,Monday,10,55
1017,St John Street / Goswell Road,2,Monday,10,58
1017,St John Street / Goswell Road,2,Monday,10,7
1017,St John Street / Goswell Road,2,Monday,11,1
1017,St John Street / Goswell Road,2,Monday,11,11
1017,St John Street / Goswell Road,2,Monday,11,14
1017,St John Street / Goswell Road,2,Monday,11,17
1017,St John Street / Goswell Road,2,Monday,11,20
1017,St John Street / Goswell Road,2,Monday,11,23
1017,St John Street / Goswell Road,2,Monday,11,26
1017,St John Street / Goswell Road,2,Monday,11,29
1017,St John Street / Goswell Road,2,Monday,11,32
1017,St John Street / Goswell Road,2,Monday,11,35
1017,St John Street / Goswell Road,2,Monday,11,38
1017,St John Street / Goswell Road,2,Monday,11,4
1017,St John Street / Goswell Road,2,Monday,11,41
1017,St John Street / Goswell Road,2,Monday,11,44
1017,St John Street / Goswell Road,2,Monday,11,47
1017,St John Street / Goswell Road,2,Monday,11,50
1017,St John Street / Goswell Road,2,Monday,11,53
1017,St John Street / Goswell Road,2,Monday,11,56
1017,St John Street / Goswell Road,2,Monday,11,59
1017,St John Street / Goswell Road,2,Monday,11,7
1017,St John Street / Goswell Road,2,Monday,12,12
1017,St John Street / Goswell Road,2,Monday,12,15
1017,St John Street / Goswell Road,2,Monday,12,18
